Topic,Difficulty,Question,Answer
Data Types,Easy,What are the basic data types in Python?,"The basic data types in Python include integers, floats, strings, booleans, and None."
Data Types,Easy,How do you convert a string to an integer in Python?,"Use the int() function: num = int(""123"")"
Data Types,Medium,What is the difference between a list and a tuple in Python?,A list is mutable (can be changed) while a tuple is immutable (cannot be changed).
Data Types,Medium,What is the difference between = and == in Python?,"= is used to assign a value to a variable, while == is used to compare two values for equality."
Data Types,Hard,What is the difference between deep copy and shallow copy in Python?,"A deep copy creates a new object with a new memory address, while a shallow copy creates a new object that references the original data."
Control Flow,Easy,What is the syntax for an if statement in Python?,if condition:
Control Flow,Easy,What is the syntax for a for loop in Python?,for variable in iterable:
Control Flow,Medium,What is the difference between a while loop and a for loop in Python?,"A while loop is used when the number of iterations is not known in advance, while a for loop is used when the number of iterations is known in advance."
Control Flow,Medium,What is the difference between break and continue in Python?,"break terminates the loop immediately, while continue skips the current iteration and continues with the next iteration."
Control Flow,Hard,What is a generator function in Python?,"A generator function is a function that uses the yield keyword to return a generator object, which can be iterated over to produce a sequence of values without creating a list."
Functions,Easy,What is the syntax for defining a function in Python?,"def function_name(parameter1, parameter2):"
Functions,Easy,How do you call a function in Python?,"function_name(argument1, argument2)"
Functions,Medium,What is a lambda function in Python?,"A lambda function is an anonymous function that can be defined in a single line of code. It is useful for creating small, one-time use functions."
Functions,Medium,What is the difference between return and print in Python?,"return is used to return a value from a function, while print is used to display a value on the screen."
Functions,Hard,What is a closure in Python?,A closure is a function object that remembers values in the enclosing lexical scope even if they are not present in memory.
Classes,Easy,What is the syntax for defining a class in Python?,class ClassName:
Classes,Easy,How do you create an instance of a class in Python?,instance = ClassName()
Strings,Easy,How do you concatenate two strings in Python?,Use the + operator: string1 + string2
Strings,Easy,How do you get the length of a string in Python?,Use the len() function: len(string)
Strings,Medium,"What is the difference between strip(), lstrip(), and rstrip() in Python?","strip() removes whitespace from both ends of a string, lstrip() removes whitespace from the beginning of a string, and rstrip() removes whitespace from the end of a string."
Strings,Medium,How do you replace a substring in a string in Python?,"Use the replace() method: string.replace(old, new)"
Strings,Hard,What is a regular expression in Python?,"A regular expression is a sequence of characters that forms a search pattern. It can be used to search, replace, and validate text based on certain patterns."
Lists,Easy,How do you add an element to the end of a list in Python?,Use the append() method: list.append(element)
Lists,Easy,How do you remove an element from a list in Python?,Use the remove() method: list.remove(element)
Lists,Medium,What is the difference between append() and extend() in Python?,"append() adds an element to the end of a list, while extend() adds multiple elements to the end of a list."
Lists,Medium,How do you sort a list in Python?,Use the sort() method: list.sort()
Lists,Hard,How do you create a list comprehension in Python?,Use the syntax: [expression for item in iterable if condition]
Dictionaries,Easy,How do you access a value in a dictionary in Python?,Use square brackets: dictionary[key]
Dictionaries,Easy,How do you add a key-value pair to a dictionary in Python?,Use square brackets: dictionary[key] = value
Dictionaries,Medium,What is the difference between a dictionary and a set in Python?,"A dictionary is a collection of key-value pairs, while a set is a collection of unique elements."
Dictionaries,Medium,How do you check if a key is in a dictionary in Python?,Use the in keyword: key in dictionary
Dictionaries,Hard,How do you create a dictionary comprehension in Python?,Use the syntax: {key_expression: value_expression for item in iterable if condition}
File Handling,Easy,How do you open a file in Python?,"Use the open() function: file = open(filename, mode)"
File Handling,Easy,How do you close a file in Python?,Use the close() method: file.close()
File Handling,Medium,How do you read a file line by line in Python?,Use a for loop: for line in file: print(line)
Functions,Easy,How do you define a function in Python?,Use the def keyword: def function_name(arguments):
Functions,Easy,How do you call a function in Python?,Use the function name followed by parentheses and any necessary arguments: function_name(arguments)
Functions,Medium,What is the difference between return and print in a function in Python?,"return returns a value from a function and ends the function, while print outputs a value to the console but does not end the function."
Functions,Medium,How do you pass a variable number of arguments to a function in Python?,Use the *args syntax to pass a variable number of non-keyword arguments or **kwargs syntax to pass a variable number of keyword arguments.
Functions,Hard,What is a lambda function in Python?,"A lambda function is a small, anonymous function that can have any number of arguments but only one expression. It is defined using the lambda keyword and is often used as an argument to higher-order functions."
Object-Oriented Programming,Easy,What is a class in Python?,A class is a blueprint for creating objects that defines attributes and methods.
Object-Oriented Programming,Easy,How do you create an object from a class in Python?,Use the class name followed by parentheses and any necessary arguments: object_name = ClassName(arguments)
Object-Oriented Programming,Medium,What is the difference between an instance method and a class method in Python?,"An instance method is a method that can only be called on an instance of a class, while a class method is a method that can be called on the class itself."
Object-Oriented Programming,Medium,How do you define a subclass in Python?,Use the class keyword followed by the subclass name and the name of the parent class in parentheses: class Subclass(ParentClass):
Object-Oriented Programming,Hard,What is method resolution order (MRO) in Python?,Method resolution order is the order in which Python looks for methods to execute in a hierarchy of classes. It is determined by the C3 algorithm and can be accessed using the __mro__ attribute.
Exceptions,Easy,How do you handle an exception in Python?,Use a try-except block: try: # code that might raise an exception except ExceptionType: # code to handle the exception
Exceptions,Easy,How do you raise an exception in Python?,Use the raise keyword: raise ExceptionType('error message')
Exceptions,Medium,What is the difference between except and finally in a try-except-finally block in Python?,"except is used to catch specific exceptions, while finally is used to execute code regardless of whether an exception is raised or not."
Exceptions,Medium,How do you create a custom exception in Python?,Define a new class that inherits from the Exception class: class CustomException(Exception): pass
Classes and Objects,Easy,What is a class in Python?,A class is a blueprint or template for creating objects that defines a set of attributes and methods that the objects will have.
Classes and Objects,Easy,What is an object in Python?,"An object is an instance of a class, created using the class as a blueprint. It has its own set of attributes and methods, and can interact with other objects in the program."
Classes and Objects,Medium,How do you create a class in Python?,"Use the class keyword followed by the class name, with a colon to start the class definition."
Classes and Objects,Medium,How do you create an object from a class in Python?,"Call the class name as if it were a function, with any necessary arguments in parentheses. The result will be a new instance of the class, which can be assigned to a variable for further use."
Inheritance,Easy,What is inheritance in Python?,"Inheritance is the ability to create a new class that is a modified version of an existing class, inheriting its attributes and methods. This can save time and reduce code duplication in a program."
Inheritance,Easy,What is a superclass in Python?,"A superclass is a class that another class inherits from, providing the base set of attributes and methods that the new class can modify or extend."
Inheritance,Medium,How do you create a subclass in Python?,"Define a new class and include the name of the superclass in parentheses after the class name. Within the class definition, include any new attributes or methods as needed."
Inheritance,Medium,What is the difference between super() and __init__() in Python?,"super() is a built-in function that allows a subclass to call methods from its superclass, while __init__() is a special method that is called when a new instance of a class is created. It is used to set up the initial state of the object, and can take arguments as needed."
Polymorphism,Easy,What is polymorphism in Python?,"Polymorphism is the ability for different objects to respond to the same method call in different ways, based on their individual implementations of the method. This allows for greater flexibility and modularity in a program."
Polymorphism,Easy,What is method overriding in Python?,"Method overriding is when a subclass defines a method with the same name as a method in its superclass, effectively replacing the original method with a new implementation."
Polymorphism,Medium,What is method overloading in Python?,"Method overloading is when a class defines multiple methods with the same name but different numbers or types of arguments. Python does not support true method overloading, but it can be simulated using default argument values or variable-length argument lists."
Encapsulation,Easy,What is encapsulation in Python?,"Encapsulation is the practice of hiding the implementation details of a class from other parts of the program, so that they cannot be accidentally or maliciously modified. This is usually achieved using access modifiers like public, private, and protected."
